local_timestamp,game,home_team,away_team,sportsbook,outcome_name,outcome_target,outcome_line,outcome_over_under,odds,link
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,147.5,O,+111,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,147.5,U,-145,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,147.0,O,+106,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,145.0,O,-118,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,146.5,O,+101,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,146.5,U,-131,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,146.0,O,-105,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,146.0,U,-124,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,145.5,O,-109,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,145.5,U,-115,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,145.0,U,-110,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,144.5,O,-125,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,144.5,U,-104,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,144.0,O,-132,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,144.0,U,+101,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,147.0,U,-139,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,143.5,O,-138,
2026-01-22 21:19:22,"Appalachian Mountaineers vs Louisiana Warhawks, 2026-01-23, 12",Appalachian Mountaineers,Louisiana Warhawks,pinnacle,Total,,143.5,U,+106,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,144.0,U,+104,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,144.0,O,-139,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,144.5,U,-102,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,144.5,O,-131,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,145.5,U,-114,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,145.0,O,-124,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,145.5,O,-116,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,146.0,U,-122,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,145.0,U,-108,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,146.0,O,-111,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,146.5,U,-128,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,147.0,U,-137,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,143.5,U,+120,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051481&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,152.5,O,+150,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051497&selectionId=7017823
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,152.5,U,-220,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051497&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,149.5,O,+110,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051455&selectionId=7017823
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,149.5,U,-155,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051455&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,155.5,O,+210,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051498&selectionId=7017823
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,155.5,U,-320,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051498&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,146.5,O,-118,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.153974773&selectionId=7017823
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,146.5,U,-112,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.153974773&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,140.5,O,-240,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051437&selectionId=7017823
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,140.5,U,+165,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051437&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,146.5,O,-105,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,147.0,O,+102,
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,136.5,O,-170,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049609&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,139.5,O,-122,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.153974431&selectionId=7017823
