local_timestamp,game,home_team,away_team,sportsbook,outcome_name,outcome_target,outcome_line,outcome_over_under,odds,link
2026-01-21 18:01:40,"Alabama Blazers vs South Florida Bulls, 2026-01-22, 07",Alabama Blazers,South Florida Bulls,draftkings,Spread,Alabama Blazers,2.5,,-118,https://sportsbook.draftkings.com/event/south-florida-%40-uab/33503908?outcomes=0HC83086916P250_1
2026-01-21 18:01:40,"Alabama Blazers vs South Florida Bulls, 2026-01-22, 07",Alabama Blazers,South Florida Bulls,draftkings,Spread,South Florida Bulls,-2.5,,-102,https://sportsbook.draftkings.com/event/south-florida-%40-uab/33503908?outcomes=0HC83086916N250_3
2026-01-21 18:01:40,"Alabama Blazers vs South Florida Bulls, 2026-01-22, 07",Alabama Blazers,South Florida Bulls,draftkings,Total,,166.5,U,-110,https://sportsbook.draftkings.com/event/south-florida-%40-uab/33503908?outcomes=0OU83086916U16650_3
2026-01-21 18:01:40,"Alabama Blazers vs South Florida Bulls, 2026-01-22, 07",Alabama Blazers,South Florida Bulls,draftkings,Total,,166.5,O,-110,https://sportsbook.draftkings.com/event/south-florida-%40-uab/33503908?outcomes=0OU83086916O16650_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-13.5,,+421,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1350_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,13.5,,-760,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1350_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-12.5,,+371,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1250_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,12.5,,-630,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1250_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-11.5,,+323,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1150_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,11.5,,-522,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1150_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-10.5,,+279,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1050_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,10.5,,-432,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1050_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-9.5,,+240,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N950_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,9.5,,-357,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P950_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-8.5,,+205,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N850_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,8.5,,-297,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P850_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,7.5,,-251,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P750_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-9.5,,+330,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N950_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,10.5,,-660,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1050_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-10.5,,+382,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1050_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,11.5,,-800,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P1150_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-11.5,,+436,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N1150_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,9.5,,-536,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P950_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-7.5,,+177,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N750_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-8.5,,+287,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N850_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-7.5,,+251,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N750_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-6.5,,+157,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N650_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,6.5,,-220,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P650_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-5.5,,+139,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N550_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,5.5,,-193,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P550_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-4.5,,+124,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N450_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,4.5,,-171,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P450_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,-3.5,,+111,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N350_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,3.5,,-151,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P350_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,1.5,,-156,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P150_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-1.5,,+114,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N150_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,2.5,,-185,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P250_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-2.5,,+134,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N250_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,3.5,,-217,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P350_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-3.5,,+155,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N350_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,4.5,,-249,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P450_1
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,Colgate Raiders,-4.5,,+176,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812N450_3
2026-01-21 18:01:40,"American Eagles vs Colgate Raiders, 2026-01-21, 07",American Eagles,Colgate Raiders,draftkings,Spread,American Eagles,5.5,,-286,https://sportsbook.draftkings.com/event/colgate-%40-american/33499342?outcomes=0HC83077812P550_1
