local_timestamp,server_timestamp,action,sport,sportsbook,game,extracted_date,home_team,away_team,outcome_name,outcome_target,outcome_line,outcome_over_under,odds,link,status,team_id,home_team_id,away_team_id
2026-02-05 18:17:59,2026-02-05 23:17:59.622309+00:00,initial_state,NCAAB,betmgm,"Mercyhurst Lakers vs St Francis Red Flash, 2026-02-05, 07",2026-02-05,Mercyhurst Lakers,St Francis Red Flash,Total,,136.5,O,-105,https://www.on.betmgm.ca/en/sports/events/18972765?options=18972765-1453842259--208074672&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622309+00:00,initial_state,NCAAB,betmgm,"Mercyhurst Lakers vs St Francis Red Flash, 2026-02-05, 07",2026-02-05,Mercyhurst Lakers,St Francis Red Flash,Total,,136.5,U,-115,https://www.on.betmgm.ca/en/sports/events/18972765?options=18972765-1453842259--208074671&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622309+00:00,initial_state,NCAAB,betmgm,"Mercyhurst Lakers vs St Francis Red Flash, 2026-02-05, 07",2026-02-05,Mercyhurst Lakers,St Francis Red Flash,Spread,St Francis Red Flash,6.5,,-105,https://www.on.betmgm.ca/en/sports/events/18972765?options=18972765-1454168335--207220107&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622309+00:00,initial_state,NCAAB,betmgm,"Mercyhurst Lakers vs St Francis Red Flash, 2026-02-05, 07",2026-02-05,Mercyhurst Lakers,St Francis Red Flash,Spread,Mercyhurst Lakers,-6.5,,-115,https://www.on.betmgm.ca/en/sports/events/18972765?options=18972765-1454168335--207220106&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622355+00:00,initial_state,NCAAB,betmgm,"North Dakota State Bison vs Denver Pioneers, 2026-02-05, 08",2026-02-05,North Dakota State Bison,Denver Pioneers,Total,,155.5,O,-115,https://www.on.betmgm.ca/en/sports/events/18972771?options=18972771-1454074158--207455934&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622355+00:00,initial_state,NCAAB,betmgm,"North Dakota State Bison vs Denver Pioneers, 2026-02-05, 08",2026-02-05,North Dakota State Bison,Denver Pioneers,Total,,155.5,U,-105,https://www.on.betmgm.ca/en/sports/events/18972771?options=18972771-1454074158--207455933&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622355+00:00,initial_state,NCAAB,betmgm,"North Dakota State Bison vs Denver Pioneers, 2026-02-05, 08",2026-02-05,North Dakota State Bison,Denver Pioneers,Spread,Denver Pioneers,11.5,,-110,https://www.on.betmgm.ca/en/sports/events/18972771?options=18972771-1453591968--208716525&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622355+00:00,initial_state,NCAAB,betmgm,"North Dakota State Bison vs Denver Pioneers, 2026-02-05, 08",2026-02-05,North Dakota State Bison,Denver Pioneers,Spread,North Dakota State Bison,-11.5,,-110,https://www.on.betmgm.ca/en/sports/events/18972771?options=18972771-1453591968--208716524&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622375+00:00,initial_state,NCAAB,betmgm,"Tennessee Blue Raiders vs Eastern Illinois Panthers, 2026-02-05, 08",2026-02-05,Tennessee Blue Raiders,Eastern Illinois Panthers,Spread,Eastern Illinois Panthers,9.5,,-102,https://www.on.betmgm.ca/en/sports/events/18972777?options=18972777-1453877646--207986141&type=Single,ACTIVE,,,
2026-02-05 18:17:59,2026-02-05 23:17:59.622375+00:00,initial_state,NCAAB,betmgm,"Tennessee Blue Raiders vs Eastern Illinois Panthers, 2026-02-05, 08",2026-02-05,Tennessee Blue Raiders,Eastern Illinois Panthers,Spread,Tennessee Blue Raiders,-9.5,,-118,https://www.on.betmgm.ca/en/sports/events/18972777?options=18972777-1453877646--207986140&type=Single,ACTIVE,,,
